oID	Oocyte.1_vs_cell64.128.2_adjp	cell64.128.2_vs_Sphere.3_adjp	Sphere.3_vs_Shield.4_adjp	Shield.4_vs_per75Epiboly.5_adjp	per75Epiboly.5_vs_dpf1.6_adjp	Oocyte.1_vs_cell64.128.2_p	cell64.128.2_vs_Sphere.3_p	Sphere.3_vs_Shield.4_p	Shield.4_vs_per75Epiboly.5_p	per75Epiboly.5_vs_dpf1.6_p	Oocyte.1_vs_cell64.128.2_LFC	cell64.128.2_vs_Sphere.3_LFC	Sphere.3_vs_Shield.4_LFC	Shield.4_vs_per75Epiboly.5_LFC	per75Epiboly.5_vs_dpf1.6_LFC	Accession	mitofates	targetp	accession	gene_id	gene_name	ID	uID
ENSDARP00000087872.3|COX2	0.8611845852	0.6234826	0.5654476806	0.848641592	0.3489834	0.7393652	0.2937158	0.2963873	0.5423864	0.2096595	0.07143539241957426	0.21487765855965751	0.23780409709861566	-0.1372121487540925	0.35580632637401266	ENSDARP00000087872.3	No mitochondrial presequence	noTP	ENSDARP00000087872	ENSDARG00000063908	mt-co2.ENSDARP00000087872	ENSDARG00000063908	ENSDARG00000063908|mt-co2.ENSDARP00000087872
XP_005163854.1|phb	0.5749310807	0.8192165	0.639195103	0.89234465	0.1920861	0.3529549	0.6218013	0.4009939	0.6420574	0.07210185	0.20717730722893912	0.10076841712582403	0.20057729858534676	-0.10829105744734424	0.5450826102614331	XP_005163854.1	No mitochondrial presequence	SP	XP_005163854	ENSDARG00000057414	phb.XP_005163854	ENSDARG00000057414	ENSDARG00000057414|phb.XP_005163854
ENSDARP00000087873.3|ATP8	0.7368428447	0.660052	0.8459366035	0.989188891	0.4122576	0.5543453	0.3459012	0.7419008	0.9594051	0.2739475	0.1289221598002445	0.18646530814422746	0.07045890639917016	-0.011682586236740535	0.3069381033480639	ENSDARP00000087873.3	No mitochondrial presequence	SP	ENSDARP00000087873	ENSDARG00000063910	mt-atp8.ENSDARP00000087873	ENSDARG00000063910	ENSDARG00000063910|mt-atp8.ENSDARP00000087873
ENSDARP00000066372.6|vdac1	0.9928412134	0.7720166	0.5780639484	0.981027183	0.1913577	0.9853345	0.5270214	0.3110751	0.9148326	0.07115102	-0.003957674796749743	0.12135559320972258	0.22745971648776225	0.024364523939605257	0.5475913484313849	ENSDARP00000066372.6	No mitochondrial presequence	noTP	ENSDARP00000066372	ENSDARG00000045132	vdac1.ENSDARP00000066372	ENSDARG00000045132	ENSDARG00000045132|vdac1.ENSDARP00000066372
ENSDARP00000060165.4|got2a	0.7428754627	0.8456749	0.5782626019	0.996479913	0.2113056	0.562462	0.6804822	0.3123121	0.972114	0.08901397	0.1260068036865938	0.07812126596343387	0.2278562742590668	0.007867993111619894	0.48749790678032917	ENSDARP00000060165.4	No mitochondrial presequence	mTP	ENSDARP00000060165	ENSDARG00000041068	got2a.ENSDARP00000060165	ENSDARG00000041068	ENSDARG00000041068|got2a.ENSDARP00000060165
pdb|4BUM|X|NA	0.830379238	0.7025648	0.665305367	0.947403621	0.4014617	0.6878214	0.4016381	0.4520479	0.760415	0.2607561	0.08611374112574809	0.16421054403271287	0.17016651053286858	-0.0695434338475045	0.2951264286048065	pdb	NA	NA	NA	NA	4BUM|X|NA	pdb	pdb|4BUM|X|NA
ENSDARP00000003389.7|atp5o	0.6208625299	0.6649382	0.4656408415	0.979080773	0.7085431	0.4087662	0.3512301	0.1840069	0.8753598	0.5969576	0.1957135517432512	0.1923038401408746	0.3292248853498228	-0.04350887217378334	0.17095108965949532	ENSDARP00000003389.7	Possessing mitochondrial presequence	mTP	ENSDARP00000003389	ENSDARG00000001788	atp5po.ENSDARP00000003389	ENSDARG00000001788	ENSDARG00000001788|atp5po.ENSDARP00000003389
ENSDARP00000056766.5|acaa2	0.7156941149	0.6519202	0.6576793443	0.981027183	0.2252305	0.527391	0.3347562	0.4365408	0.8893885	0.09957223	0.14971836043122827	0.19765461081761113	0.18071056493294246	-0.03232603603912715	0.4624519481644756	ENSDARP00000056766.5	No mitochondrial presequence	noTP	ENSDARP00000056766	ENSDARG00000038881	acaa2.ENSDARP00000056766	ENSDARG00000038881	ENSDARG00000038881|acaa2.ENSDARP00000056766
NP_955858.1|idh2	0.6698100492	0.6040713	0.7038047662	0.998405017	0.7648883	0.4710109	0.2749086	0.5334552	0.9905701	0.669848	0.15744697944180228	0.22778961778405798	0.14233851407403775	-0.0026405577329218625	0.11699521223966027	NP_955858.1	Possessing mitochondrial presequence	mTP	NP_955858	ENSDARG00000003795	idh2.NP_955858	ENSDARG00000003795	ENSDARG00000003795|idh2.NP_955858
ENSDARP00000069708.3|NA	0.7542664007	0.7455766	0.7055299553	0.981027183	0.434108	0.5794171	0.4838316	0.53660890000000006	0.9101401	0.2969163	0.12068260109306295	0.13483230790545844	0.13654119756750566	0.025746632491893913	0.27326496441629944	ENSDARP00000069708.3	Possessing mitochondrial presequence	mTP	ENSDARP00000069708	ENSDARG00000053217	cox7a2a.ENSDARP00000069708	ENSDARG00000053217	ENSDARG00000053217|cox7a2a.ENSDARP00000069708
ENSDARP00000122284.1|atp5f1	0.6677530909	0.7986686	0.6773847747	0.841000558	0.3226125	0.4684977	0.5814544	0.4801802	0.525429	0.1828365	0.17570260736904536	0.12257536438214374	0.16798039671916007	-0.15234802321098667	0.37304537518361464	ENSDARP00000122284.1	Possessing mitochondrial presequence	mTP	ENSDARP00000122284	ENSDARG00000011553	atp5pb.ENSDARP00000122284	ENSDARG00000011553	ENSDARG00000011553|atp5pb.ENSDARP00000122284
ENSDARP00000090664.3|atp5ib	0.9948900658	0.5958825	0.6587099319	0.867422239	0.3121387	0.990888	0.2651429	0.4397421	0.5781596	0.1716531	-0.002460377770888792	0.2684037848465592	0.20178993792084532	-0.13972278360108462	0.4374518433369213	ENSDARP00000090664.3	No mitochondrial presequence	noTP	ENSDARP00000090664	ENSDARG00000068940	atp5meb.ENSDARP00000090664	ENSDARG00000068940	ENSDARG00000068940|atp5meb.ENSDARP00000090664
ENSDARP00000062555.3|sod2	0.5645732968	0.7287647	0.680931848	0.935295917	0.2315303	0.3419124	0.4564998	0.4880972	0.7359099	0.1044471	0.22549807394553334	0.17108601453524747	0.16969432613274948	0.08169648964595451	0.48164314985573636	ENSDARP00000062555.3	Possessing mitochondrial presequence	mTP	ENSDARP00000062555	ENSDARG00000042644	sod2.ENSDARP00000062555	ENSDARG00000042644	ENSDARG00000042644|sod2.ENSDARP00000062555
ENSDARP00000126933.1|zgc:19354	0.6208625299	0.5329402	0.534425136	0.860353564	0.742361	0.4088442	0.2003898	0.2568313	0.565113	0.6403913	0.21354248816518578	0.2943540277479006	0.32154555997992584	0.1601968344137035	0.14382089433071898	ENSDARP00000126933.1	No mitochondrial presequence	noTP	ENSDARP00000126933	ENSDARG00000092873	zgc:193541.ENSDARP00000126933	ENSDARG00000092873	ENSDARG00000092873|zgc:193541.ENSDARP00000126933
ENSDARP00000120266.1|NA	0.4906342279	0.7048061	0.5147923884	0.957179071	0.2213596	0.256897	0.4078226	0.2370716	0.8121606	0.096571	0.27780330721419844	0.1582236336317037	0.3284640625013454	-0.0658209269753833	0.5240639167901454	ENSDARP00000120266.1	Possessing mitochondrial presequence	mTP	ENSDARP00000120266	ENSDARG00000020618	gatd3a.ENSDARP00000120266	ENSDARG00000020618	ENSDARG00000020618|gatd3a.ENSDARP00000120266
ENSDARP00000007716.6|atp5l	0.6628893361	0.857089	0.6494545277	0.958550002	0.3010411	0.4590718	0.7032728	0.4231218	0.8215375	0.1614694	0.17144390847568083	0.07151437830278666	0.17442182063614023	-0.050741637473920985	0.3829635346332039	ENSDARP00000007716.6	No mitochondrial presequence	mTP	ENSDARP00000007716	ENSDARG00000011841	atp5l.ENSDARP00000007716	ENSDARG00000011841	ENSDARG00000011841|atp5l.ENSDARP00000007716
ENSDARP00000117024.1|acadm	0.4841038967	0.7327094	0.6916333495	0.928861763	0.1362354	0.2497995	0.464119	0.5091483	0.717271	0.03796616	0.2755447323569068	0.15085508820273513	0.14493187946726466	-0.08320838512926063	0.675020279157625	ENSDARP00000117024.1	Possessing mitochondrial presequence	mTP	ENSDARP00000117024	ENSDARG00000038900	acadm.ENSDARP00000117024	ENSDARG00000038900	ENSDARG00000038900|acadm.ENSDARP00000117024
ENSDARP00000131306.1|zgc:11065	0.473255257	0.9067399	0.4162756966	0.967896676	0.1986361	0.2412179	0.7993738	0.1437583	0.8475217	0.07906446	0.2686433462285472	0.04837571850030565	0.3537973839490324	0.044149242289094844	0.5302507015057765	ENSDARP00000131306.1	Possessing mitochondrial presequence	noTP	ENSDARP00000131306	ENSDARG00000098639	pycr1b.ENSDARP00000131306	ENSDARG00000098639	ENSDARG00000098639|pycr1b.ENSDARP00000131306
ENSDARP00000156340.1|NA	0.8485718428	0.7481258	0.5782626019	0.981027183	0.3178861	0.7166448	0.486524	0.3121903	0.9103987	0.1784742	0.08559755435765763	0.15987035555064924	0.3199339715221367	-0.031609827531354315	0.4089162361225428	ENSDARP00000156340.1	No mitochondrial presequence	mTP	ENSDARP00000156340	ENSDARG00000099499	ndufa4l.ENSDARP00000156340	ENSDARG00000099499	ENSDARG00000099499|ndufa4l.ENSDARP00000156340
ENSDARP00000134914.1|tufm	0.8468848015	0.7768148	0.5618928595	0.981027183	0.3224399	0.7130933	0.5378778	0.2847447	0.9191417	0.1826248	0.08037143898059343	0.12009211594544648	0.2384596620457397	0.022630654494452698	0.3687192949282901	ENSDARP00000134914.1	No mitochondrial presequence	mTP	ENSDARP00000134914	ENSDARG00000104173	tufm.ENSDARP00000134914	ENSDARG00000104173	ENSDARG00000104173|tufm.ENSDARP00000134914
AAH67644.1|gcat	0.7899634246	0.8693162	0.6152825571	0.981027183	0.2423647	0.627868	0.7229558	0.3603844	0.8915505	0.113452	0.10709789407043309	0.0682933573839306	0.20965747425926803	0.03175131371495792	0.4479256861938228	AAH67644.1	No mitochondrial presequence	SP	NA	NA	gcat	AAH67644.1	AAH67644.1|gcat
ENSDARP00000010686.4|ak2	0.4653004946	0.7506996	0.6267318174	0.980908821	0.4030288	0.2332092	0.4921867	0.3734127	0.8831069	0.2644409	0.31853003838228255	0.1476551152779346	0.2107187915980424	-0.035018649128856646	0.3089582617553854	ENSDARP00000010686.4	No mitochondrial presequence	noTP	ENSDARP00000010686	ENSDARG00000005926	ak2.ENSDARP00000010686	ENSDARG00000005926	ENSDARG00000005926|ak2.ENSDARP00000010686
ENSDARP00000123883.2|NA	0.6525689646	0.7484985	0.6398995833	0.953687427	0.2414058	0.4500257	0.4871126	0.4057815	0.7938872	0.1126049	0.1632926750592777	0.1304464258201268	0.19890802938806637	-0.06306104328106814	0.4762168799429382	ENSDARP00000123883.2	No mitochondrial presequence	mTP	ENSDARP00000123883	ENSDARG00000007294	aco2.ENSDARP00000123883	ENSDARG00000007294	ENSDARG00000007294|aco2.ENSDARP00000123883
ENSDARP00000123538.1|LOC100537	0.5347769213	0.790382	0.6275600359	0.981027183	0.4275599	0.3019295	0.563636	0.379534	0.926503	0.2898711	0.23437373542361756	0.10867380608218806	0.191752351663203	0.02047476364967395	0.2799650099060445	ENSDARP00000123538.1	Possessing mitochondrial presequence	mTP	ENSDARP00000123538	ENSDARG00000088383	cox5aa.ENSDARP00000123538	ENSDARG00000088383	ENSDARG00000088383|cox5aa.ENSDARP00000123538
ENSDARP00000053284.5|ndufa7	0.5311831324	0.8769518	0.6643347142	0.926684656	0.3797839	0.2967366	0.745989	0.4509065	0.7133753	0.2393765	0.27290764132210227	0.06983508424054599	0.19657686320577286	0.1012115576451589	0.3573879066914139	ENSDARP00000053284.5	Possessing mitochondrial presequence	noTP	ENSDARP00000053284	ENSDARG00000036684	ndufa7.ENSDARP00000053284	ENSDARG00000036684	ENSDARG00000036684|ndufa7.ENSDARP00000053284
ENSDARP00000024560.5|LOC100329	0.5374986271	0.710679	0.4874979187	0.989188891	0.3227518	0.3096342	0.4230572	0.2037624	0.9517818	0.1830294	0.22666302005434302	0.15758082655434796	0.29807564441471546	0.014833803274002527	0.40562628998074785	ENSDARP00000024560.5	Possessing mitochondrial presequence	mTP	ENSDARP00000024560	ENSDARG00000005840	got2b.ENSDARP00000024560	ENSDARG00000005840	ENSDARG00000005840|got2b.ENSDARP00000024560
ENSDARP00000058345.5|c1qbp;	0.598052216	0.6248883	0.6561523246	0.999633224	0.3791832	0.3812612	0.2974144	0.4335241	0.9954693	0.2384623	0.19119835426239065	0.20573539515875505	0.1736722159605946	0.0012629530538972287	0.3636282657656423	ENSDARP00000058345.5	Possessing mitochondrial presequence	mTP	ENSDARP00000058345	ENSDARG00000039887	c1qbp.ENSDARP00000058345	ENSDARG00000039887	ENSDARG00000039887|c1qbp.ENSDARP00000058345
ENSDARP00000140482.3|NA	0.5948820389	0.710679	0.5273722044	0.918714459	0.3284805	0.3759124	0.4189545	0.2504938	0.6939931	0.1890153	0.23179913398020066	0.17106335776862336	0.2746403899834347	-0.09015841145737791	0.3941184706711909	ENSDARP00000140482.3	Possessing mitochondrial presequence	mTP	ENSDARP00000140482	ENSDARG00000101631	etfa.ENSDARP00000140482	ENSDARG00000101631	ENSDARG00000101631|etfa.ENSDARP00000140482
ENSDARP00000003744.8|NA	0.7094553189	0.7073978	0.6112849747	0.953687427	0.5120565	0.5182896	0.4116839	0.3550378	0.7877971	0.3704815	0.1465609220711003	0.15795340680923256	0.20433716268894983	-0.06150329879498746	0.24934115528317333	ENSDARP00000003744.8	Possessing mitochondrial presequence	mTP	ENSDARP00000003744	ENSDARG00000003035	hspa9.ENSDARP00000003744	ENSDARG00000003035	ENSDARG00000003035|hspa9.ENSDARP00000003744
ENSDARP00000094070.3|ndufa5	0.6907861888	0.6496822	0.6377411318	0.824839499	0.3256775	0.4961466	0.3301287	0.3974409	0.4766266	0.1852636	0.1516494067158133	0.20731651405026158	0.20216791995966882	0.20129950772254396	0.5769298466395171	ENSDARP00000094070.3	No mitochondrial presequence	noTP	ENSDARP00000094070	ENSDARG00000039346	ndufa5.ENSDARP00000094070	ENSDARG00000039346	ENSDARG00000039346|ndufa5.ENSDARP00000094070
ENSDARP00000130975.2|NA	0.7378128827	0.7709996	0.6680315328	0.950682286	0.2703308	0.5564011	0.5235094	0.4617025	0.7751093	0.13511	0.1483852075426058	0.12590758874755678	0.16730648491395858	0.06607546516359696	0.4968938834379567	ENSDARP00000130975.2	No mitochondrial presequence	noTP	ENSDARP00000130975	ENSDARG00000009250	etfb.ENSDARP00000130975	ENSDARG00000009250	ENSDARG00000009250|etfb.ENSDARP00000130975
ENSDARP00000031098.4|ndufa2	0.9649310855	0.4640017	0.6640664067	0.950239271	0.3360604	0.9335778	0.146668	0.4500366	0.7683638	0.1973713	-0.019443445862593275	0.3757204608660871	0.21167271442139882	-0.07928456238532192	0.44681052710949065	ENSDARP00000031098.4	No mitochondrial presequence	mTP	ENSDARP00000031098	ENSDARG00000021984	ndufa2.ENSDARP00000031098	ENSDARG00000021984	ENSDARG00000021984|ndufa2.ENSDARP00000031098
ENSDARP00000063383.5|phb2;	0.7759018017	0.7656635	0.722990783	0.935295917	0.3323175	0.6024339	0.5138824	0.5627611	0.7335759	0.193208	0.11460045755182378	0.12316741691308968	0.13027665488462348	-0.08053285833177067	0.3562716327596159	ENSDARP00000063383.5	No mitochondrial presequence	noTP	ENSDARP00000063383	ENSDARG00000045297	phb2a.ENSDARP00000063383	ENSDARG00000045297	ENSDARG00000045297|phb2a.ENSDARP00000063383
NP_001315480.1|atp5c1	0.6638743253	0.8358421	0.6950295687	0.965896326	0.3593219	0.4626247	0.6529805	0.5168013	0.8443033	0.2188783	0.17129069222669488	0.09479686913355184	0.15926003695851088	0.04812252519729235	0.33566454484970465	NP_001315480.1	Possessing mitochondrial presequence	mTP	NP_001315480	ENSDARG00000045514	atp5f1c.NP_001315480	ENSDARG00000045514	ENSDARG00000045514|atp5f1c.NP_001315480
ENSDARP00000148221.1|NA	0.2368899221	0.2222399	0.3000601753	0.969832174	0.3417912	0.04841403	0.0191385	0.05783584	0.8576505	0.2032403	-0.6730137277270001	-0.6343325362850986	-0.5015598355842126	-0.042388428579199715	-0.35727577219124984	ENSDARP00000148221.1	No mitochondrial presequence	SP	ENSDARP00000148221	ENSDARG00000111529	vtg2.ENSDARP00000148221	ENSDARG00000111529	ENSDARG00000111529|vtg2.ENSDARP00000148221
NP_956313.1|hadhb	0.7824894127	0.6918248	0.5769716881	0.859110329	0.2281191	0.6145352	0.3801733	0.3089931	0.5590223	0.1015742	0.11108031483080916	0.1774558573570457	0.2576756647873999	-0.14714489997555039	0.517411990607186	NP_956313.1	Possessing mitochondrial presequence	mTP	NP_956313	ENSDARG00000102055	hadhb.NP_956313	ENSDARG00000102055	ENSDARG00000102055|hadhb.NP_956313
ENSDARP00000056318.3|cox6c	0.3223304259	0.5964925	0.6275600359	0.980908821	0.2467182	0.1118046	0.2664599	0.3785614	0.8841413	0.1161322	-0.446131199430194	0.2216185310429586	0.19843362153973315	0.033708601940112506	0.8954491515020551	ENSDARP00000056318.3	Possessing mitochondrial presequence	SP	ENSDARP00000056318	ENSDARG00000038577	cox6c.ENSDARP00000056318	ENSDARG00000038577	ENSDARG00000038577|cox6c.ENSDARP00000056318
NP_957008.1|ndufa13	0.6196826257	0.7287647	0.4373759742	0.981027183	0.4181673	0.4063784	0.4593933	0.1596527	0.9023883	0.2808454	0.1842755691324658	0.14212315890412194	0.35795639505198584	-0.029161888645815877	0.33126424247205327	NP_957008.1	No mitochondrial presequence	noTP	NA	NA	ndufa13	NP_957008.1	NP_957008.1|ndufa13
ENSDARP00000055429.3|NA	0.6242820805	0.6765657	0.58015847	0.964869024	0.4850072	0.4138669	0.3630047	0.315001	0.8400712	0.3451173	0.1967028036141639	0.21431402440167102	0.2755449970611439	0.05089553497199808	0.25109924429623676	ENSDARP00000055429.3	Possessing mitochondrial presequence	noTP	ENSDARP00000055429	ENSDARG00000038028	ndufa6.ENSDARP00000055429	ENSDARG00000038028	ENSDARG00000038028|ndufa6.ENSDARP00000055429
ENSDARP00000099418.3|cisd1	0.9423929778	0.744637	0.4790827839	0.947403621	0.1750866	0.8835338	0.4827184	0.1970236	0.7599926	0.05644565	-0.03335527556889195	0.13264457676046654	0.31936236151787345	0.07529249477624497	0.6438297338399672	ENSDARP00000099418.3	No mitochondrial presequence	noTP	ENSDARP00000099418	ENSDARG00000079516	cisd1.ENSDARP00000099418	ENSDARG00000079516	ENSDARG00000079516|cisd1.ENSDARP00000099418
