Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSDARG00000094473		8	21406769	21416472
ENSDARG00000071377	hsd11b1la	22	19552987	19562455
ENSDARG00000025671	grm6b	11	25634041	25679721
ENSDARG00000092630		9	18911697	18914941
ENSDARG00000035018	thy1	5	29794058	29803293
ENSDARG00000039173	ctslb	12	16617138	16619757
ENSDARG00000037196		12	8168272	8385702
ENSDARG00000032264	mybl2b	11	1551603	1574656
ENSDARG00000025325	ccsapa	1	53954230	53963933
ENSDARG00000097542		15	47828719	47831416
ENSDARG00000054184	btr06	7	16205609	16214891
ENSDARG00000056331	ahcyl1	8	24971890	25011157
ENSDARG00000102080	mif4gda	6	19334365	19341186
ENSDARG00000069888	cldna	15	2655566	2657508
ENSDARG00000038363	drd4a	25	4707173	4733221
ENSDARG00000010472	atp1a2a	2	44203075	44255537
ENSDARG00000040643	ccr10	24	36673686	36680261
ENSDARG00000075673	arhgap21b	2	12302527	12406641
ENSDARG00000017422	apmap	13	6219551	6239216
ENSDARG00000095804		8	944232	973770
ENSDARG00000077318		24	17136749	17139114
ENSDARG00000097032	si:ch211-256a21.4	25	8955530	8963927
ENSDARG00000092535	si:dkey-242h9.5	18	19101679	19103964
ENSDARG00000096638		20	18565758	18569419
ENSDARG00000063390	pvrl2l	19	6606197	6774871
ENSDARG00000026403	HEPH	10	24394023	24416471
ENSDARG00000062108	iffo1b	16	17121986	17162843
ENSDARG00000076830		5	41826958	41845116
ENSDARG00000042726	GRB7	24	36414829	36442590
ENSDARG00000075030	stx10	11	31190155	31202851
ENSDARG00000103155	ext1a	16	48460873	48573510
ENSDARG00000019235	sema3aa	4	11311315	11368490
ENSDARG00000075952	mbd2	5	998296	1047504
ENSDARG00000055472	nubp1	3	26931710	26978793
ENSDARG00000088293	doc2b	5	60919378	61329656
ENSDARG00000101050	tmc8	11	45199369	45216684
ENSDARG00000097953		9	31266192	31271786
ENSDARG00000030867	opn7c	8	25858224	25874426
ENSDARG00000053383	rprma	9	4609746	4610777
ENSDARG00000056921	ankk1	15	22014029	22024954
ENSDARG00000042057	TRMT1L	20	34388425	34399442
ENSDARG00000105459		7	6344680	6345507
ENSDARG00000100906	si:dkey-23a13.20	7	5975194	5975991
ENSDARG00000088764	lyplal1	16	2637478	2650375
ENSDARG00000033754	rbm48	19	40177246	40182642
ENSDARG00000002184	igbp1	5	36530836	36537975
ENSDARG00000093450		22	19494996	19496507
ENSDARG00000015681	gsk3ab	16	11242443	11292148
ENSDARG00000092078		2	20699481	20704523
ENSDARG00000105359		7	6467050	6467510
ENSDARG00000079665	gpr158b	2	12104389	12243213
ENSDARG00000021702	pdcd4a	1	26046148	26071535
ENSDARG00000096968		25	31502082	31502925
ENSDARG00000070846	dazap1	11	5880562	5925517
ENSDARG00000070507	trpc4a	10	25829262	25860102
ENSDARG00000009754	zc3h11a	11	24034345	24044586
ENSDARG00000077124		12	4643996	4672708
ENSDARG00000101124		11	28517562	28520764
ENSDARG00000067828		18	33100606	33103808
ENSDARG00000004184	nf1b	10	37268854	37394957
ENSDARG00000063155	dcaf12	21	11883336	11911966
ENSDARG00000096606		1	57145072	57145503
ENSDARG00000033444	map4k6	21	34033580	34075107
ENSDARG00000088861		4	45195202	45201724
ENSDARG00000079453	ATP8B4	25	32404938	32464149
ENSDARG00000042825	rnf169	15	4969128	4985077
ENSDARG00000100423		5	53581489	53607703
ENSDARG00000060036	aimp1a	1	50293938	50319654
ENSDARG00000020926	creb3l3l	8	31375119	31384620
ENSDARG00000104656		16	50926455	50952266
ENSDARG00000091901	si:dkey-25c4.1	20	8794502	8835094
ENSDARG00000019098	cd82a	7	26709251	26739674
ENSDARG00000016897	fbxo15	24	15655069	15669210
ENSDARG00000037962	psmb7	21	8341774	8352095
ENSDARG00000096996		24	17403470	17406366
ENSDARG00000003533	col8a1b	22	28647130	28668442
ENSDARG00000015566	dnmt3ab	17	36936918	37054959
ENSDARG00000115281		25	35107480	35107791
ENSDARG00000114405	zgc:194989	25	35105627	35106783
ENSDARG00000020788	sla2b	23	14808221	14830627
ENSDARG00000098428	asic1c	24	33868109	34034931
ENSDARG00000097460		6	57431319	57455678
ENSDARG00000069245	matn3a	20	43760059	43775544
ENSDARG00000004597	lrrc4ba	3	30369765	30434016
ENSDARG00000009350	atg3	6	7109954	7123210
ENSDARG00000010956	sh3glb1b	2	16173999	16210623
ENSDARG00000098260		6	24318031	24320268
ENSDARG00000099535		14	2320220	2322484
ENSDARG00000100139	si:ch211-113d22.2	10	20448638	20454008
ENSDARG00000076966	pagr1	12	3723650	3732014
ENSDARG00000042252	eif4h	15	4585266	4616928
ENSDARG00000042151	skia	8	17395929	17516448
ENSDARG00000018898	zfand5a	5	25680842	25694362
ENSDARG00000004274	zgc:112496	24	37631632	37640705
ENSDARG00000018008	mdh1b	1	6218632	6225285
ENSDARG00000103802	btbd8	6	24152816	24203980
ENSDARG00000052164	znf507	7	47243564	47266151
ENSDARG00000071548	josd1	12	18906407	18915531
ENSDARG00000046141	zgc:162025	8	39816523	39822917
ENSDARG00000036080	cd81a	7	32983440	33023404
ENSDARG00000041802	rnf141	18	16749091	16756144
ENSDARG00000096747		20	33959570	33975292
ENSDARG00000071679	mydgf	22	5135193	5145469
ENSDARG00000079438	pkp3b	7	32926760	32981559
ENSDARG00000086457	tnfaip8l1	22	5153461	5171829
ENSDARG00000032552	marchf5	13	42361599	42400647
ENSDARG00000097736		11	24819265	24820001
ENSDARG00000101910	pcdh20	14	14568437	14573041
ENSDARG00000058815	ihhb	6	7059999	7082108
ENSDARG00000013076	bmi1b	2	21164930	21170517
ENSDARG00000044626	ccdc90b	21	22888889	22892124
ENSDARG00000015862	rpl5b	6	29086594	29097393
ENSDARG00000096017		22	25681912	25683148
ENSDARG00000014790	g3bp2a	1	26444986	26466002
ENSDARG00000071396	timm23a	12	35046704	35051441
ENSDARG00000061791	nyx	9	33357011	33361199
ENSDARG00000068993	zgc:153631	8	22355909	22369796
ENSDARG00000075072	rpap1	17	31535764	31579733
ENSDARG00000097687		15	10756210	10759101
ENSDARG00000056531	nutf2	18	21913685	21929451
ENSDARG00000011240	ift46	10	29735900	29744921
ENSDARG00000061185	naa60	3	27786601	27796351
ENSDARG00000095132		4	45033922	45098326
ENSDARG00000059423	prune2	5	55371248	55395964
ENSDARG00000036787	tap2a	19	7124337	7132315
ENSDARG00000079221		15	32398921	32427806
ENSDARG00000045857	cebpz	20	3290231	3310017
ENSDARG00000094301		13	10164234	10302070
ENSDARG00000114873		2	36107846	36107911
ENSDARG00000103707		2	36124223	36124282
ENSDARG00000097437		17	26848590	26850524
ENSDARG00000077299	yars2	25	2263857	2277132
ENSDARG00000115333		2	36119123	36119188
ENSDARG00000115584		2	36109592	36109657
ENSDARG00000033134	ndufaf7	20	3277620	3288089
ENSDARG00000004433	btk	14	38891722	38929885
ENSDARG00000002994	itpkca	21	21279159	21298995
ENSDARG00000022177	ddx59	22	22417751	22430191
ENSDARG00000036382	ponzr6	7	22767678	22773132
ENSDARG00000030311	tmc2b	5	25624819	25645593
ENSDARG00000003420	chrna5	18	40486457	40509006
ENSDARG00000060124	timm17b	8	44921123	44926077
ENSDARG00000045874	yeats4	4	2059692	2062435
ENSDARG00000075666	tsc22d3	14	27998756	28001986
ENSDARG00000044895	fmoda	11	21025895	21031773
ENSDARG00000041546	gypc	9	23665777	23718614
ENSDARG00000045691	zcrb1	4	13923927	13931508
ENSDARG00000098652	PCDH11X	14	27120406	27297123
ENSDARG00000100468		22	1846147	1849410
ENSDARG00000101459		4	35130120	35293690
ENSDARG00000017675	utp4	18	14619544	14633308
ENSDARG00000089513	si:ch211-198e20.10	15	25007209	25010400
ENSDARG00000096118	ost4	4	736395	737520
ENSDARG00000087814	mfrp	15	464229	477223
ENSDARG00000101715	arsg	12	20583552	20600378
ENSDARG00000095555		1	36447498	36472785
ENSDARG00000022918	tbcc	12	34891529	34892823
ENSDARG00000094135		13	46014087	46018708
ENSDARG00000068602	dalrd3	8	26083808	26098075
ENSDARG00000002912	adipor1a	11	24800156	24815193
ENSDARG00000103395	si:ch73-281i18.7	19	3909980	3916075
ENSDARG00000079377	ARHGEF38	1	26411496	26437820
ENSDARG00000016345	ncoa5	6	55428924	55437087
ENSDARG00000091317		10	33614377	33621739
ENSDARG00000096726	hspa12a.2	4	77675291	77680276
ENSDARG00000070847	trim35-20	22	36902352	36905600
ENSDARG00000096678		12	38546885	38548299
ENSDARG00000004034	arhgdig	3	27713610	27769232
ENSDARG00000000474	TNNI1	23	5723090	5729484
ENSDARG00000054597	cnot6l	5	38786481	38824466
ENSDARG00000097891		3	23701915	23860941
ENSDARG00000058695	DDR2	2	6963296	6996486
ENSDARG00000099189		16	7968020	7984901
ENSDARG00000012467	spint1b	20	3218893	3238110
ENSDARG00000073950		16	11960588	11963804
ENSDARG00000067566	sftpbb	5	68845048	68876211
ENSDARG00000058696	tbl1xr1a	11	8565323	8682447
ENSDARG00000007383	kcnk6	18	46171104	46183462
ENSDARG00000095291		18	5528981	5539574
ENSDARG00000063036	psd2	14	8127893	8249334
ENSDARG00000093079	proca	2	5457388	5475921
ENSDARG00000019004	smarcd1	22	7009062	7025393
ENSDARG00000073704	si:dkeyp-72g9.4	21	32476709	32487084
ENSDARG00000057887	NTS	18	16330025	16339902
ENSDARG00000045378	pi15a	24	14801844	14810634
ENSDARG00000099469		15	9878848	9883813
ENSDARG00000043757	ptbp3	10	11146321	11261565
ENSDARG00000097342		20	10489474	10490058
ENSDARG00000017537		1	6171585	6185532
ENSDARG00000094146		20	43527890	43533096
ENSDARG00000012942	itgb5	9	22677503	22748015
ENSDARG00000068934	cyp1b1	13	42011285	42018948
ENSDARG00000104129	si:dkey-23n7.10	7	38787831	38792543
ENSDARG00000074156	sgca	12	3078221	3093024
ENSDARG00000052019		1	44011472	44025066
ENSDARG00000101668		2	36092953	36094319
ENSDARG00000058587	terb1	18	7456597	7478152
ENSDARG00000017860	rgs5b	2	6885852	6889119
ENSDARG00000075996	znfl1b	9	15837398	15841997
ENSDARG00000067507	kctd8	14	5936996	6004780
ENSDARG00000070644	ttpal	23	25868637	25874877
ENSDARG00000037935	aldh16a1	3	32080403	32098515
ENSDARG00000103815		19	42505974	42516134
ENSDARG00000093180		8	13518768	13555351
ENSDARG00000043664	BDKRB2	20	10287061	10288156
ENSDARG00000101047	rtcb	4	676710	685433
ENSDARG00000005754	ptprfb	2	17578320	17947389
ENSDARG00000103165		5	64356637	64366158
ENSDARG00000101217	fam78aa	5	64349580	64355227
ENSDARG00000062142	stoml1	25	22281441	22292901
ENSDARG00000088402		9	25083160	25094181
ENSDARG00000052361	il15	1	53234693	53260082
ENSDARG00000004580	nmnat2	2	36026183	36040820
ENSDARG00000078558		1	44003654	44009286
ENSDARG00000087469	F2R	21	8046804	8054977
ENSDARG00000038066	kpna2	3	25369965	25377163
ENSDARG00000001933	prkag2b	2	13056802	13148453
ENSDARG00000055713	fmnl1a	3	37196258	37235300
ENSDARG00000040352	crot	16	28601974	28627568
ENSDARG00000040705	glsb	9	41273231	41351426
ENSDARG00000095863	afp4	16	45912647	45917683
ENSDARG00000040985	itgbl1	9	31752628	31833565
ENSDARG00000020610	tnnt2a	23	5653224	5685172
ENSDARG00000093781		18	16192083	16218370
ENSDARG00000035471	si:dkey-220k22.1	5	31480342	31591000
ENSDARG00000116254		8	13485196	13486258
ENSDARG00000074166	birc6	17	22587356	22741729
ENSDARG00000091633		20	27003558	27012959
ENSDARG00000096359	eppk1	19	22360956	22387141
ENSDARG00000002333	fam102bb	20	33752967	33790003
ENSDARG00000070626	cacng8b	16	12882381	12953739
ENSDARG00000071143	si:dkey-208m12.2	22	27189979	27362439
ENSDARG00000052701	smpd2b	6	54680730	54705050
ENSDARG00000058127	hcfc2	4	9184481	9196291
ENSDARG00000100823	selenok	8	53537103	53542424
ENSDARG00000055855	kcnc3a	3	31953145	32053929
ENSDARG00000105665		12	32186095	32188899
ENSDARG00000043697	nefmb	8	6863462	6866890
ENSDARG00000077609	ELFN2	22	15009168	15010688
ENSDARG00000054331	ccn4a	19	34950200	34958185
ENSDARG00000038793	ccdc24	2	33422411	33455274
ENSDARG00000063677	ccny	24	4373033	4424232
ENSDARG00000076748	ntn2	24	38726737	38787607
ENSDARG00000001559		19	36114846	36675023
ENSDARG00000044059	lft2	17	8308182	8312923
ENSDARG00000008200	ugp2b	17	24445818	24474703
ENSDARG00000024189	pnocb	20	34717403	34734022
ENSDARG00000103498	epd	5	37837245	37839310
ENSDARG00000059459	C5H2orf68	5	68817034	68826177
